Patch_ID,OS_Type,Patch_Type,Patch_Severity,Systems_Affected,Server_Usage,Prev_Incidents,Patch_Size_MB,Applied_During_Peak,Pre_Health_Score,Post_Health_Score,Downtime_Mins,Result
P1096,Windows,Bugfix,Low,23,Medium,1,88,No,83.3,78.8,8.1,Safe
P1097,RHEL,Bugfix,Low,95,High,0,118,No,78.8,72.4,8.2,Safe
P1098,RHEL,Feature,Low,74,Low,0,229,No,74.7,65.6,17.1,Safe
P1099,RHEL,Security,Low,38,Low,1,61,No,82.9,77.7,4.6,Safe
P1100,RHEL,Kernel,Medium,88,High,0,388,No,90.9,81.7,13.1,Safe
P1101,Windows,Bugfix,Medium,29,Medium,0,480,No,67.6,59.3,10.4,Risky
P1102,RHEL,Security,Medium,72,Medium,0,253,No,80.0,74.1,11.2,Safe
P1103,Windows,Bugfix,Low,78,Medium,0,85,No,100.0,100.0,0.0,Safe
P1104,Ubuntu,Feature,Low,78,High,1,175,No,83.1,72.3,19.2,Risky
P1105,RHEL,Security,Medium,92,Medium,1,112,No,86.5,83.8,3.7,Safe
P1106,RHEL,Feature,Critical,89,High,1,381,Yes,100.0,84.7,23.9,Risky
P1107,Windows,Kernel,Low,15,Medium,0,131,No,88.2,86.6,2.9,Safe
P1108,RHEL,Security,High,95,Low,0,356,No,88.4,82.6,11.5,Safe
P1109,RHEL,Kernel,Medium,20,High,0,348,No,75.9,70.6,8.4,Risky
P1110,RHEL,Security,Medium,94,Low,0,83,No,88.1,85.9,2.2,Safe
P1111,RHEL,Security,Medium,65,High,1,289,No,84.9,80.9,3.7,Safe
P1112,Ubuntu,Security,Low,98,Medium,2,146,No,94.2,91.8,2.3,Safe
P1113,Ubuntu,Feature,Low,84,Medium,1,98,No,97.8,95.1,1.7,Safe
P1114,Windows,Bugfix,Medium,11,Medium,0,195,No,85.3,84.8,0.3,Safe
P1115,Ubuntu,Security,Medium,20,Low,0,174,No,88.8,88.6,0.3,Safe
P1116,Ubuntu,Bugfix,Critical,20,Low,0,238,No,66.1,55.8,17.8,Risky
P1117,RHEL,Bugfix,Medium,44,High,0,106,Yes,62.6,51.9,6.0,Safe
P1118,Ubuntu,Security,Low,16,High,1,398,Yes,95.9,91.0,6.7,Safe
P1119,Windows,Feature,High,39,Low,0,158,No,60.1,51.6,9.0,Risky
P1120,Ubuntu,Feature,Low,25,High,1,54,No,88.3,80.5,14.2,Safe
P1121,Ubuntu,Bugfix,Medium,54,High,0,73,No,83.3,81.4,1.4,Safe
P1122,RHEL,Kernel,Medium,47,Medium,1,270,Yes,97.3,90.5,9.2,Safe
P1123,RHEL,Bugfix,Critical,21,Low,0,497,Yes,84.6,77.2,14.6,Risky
P1124,RHEL,Kernel,High,36,High,0,364,Yes,100.0,86.4,13.8,Risky
P1125,RHEL,Bugfix,Medium,45,Medium,0,343,No,83.0,79.5,5.5,Safe
P1126,Ubuntu,Bugfix,Medium,10,High,2,466,No,96.5,92.9,6.5,Safe
P1127,Ubuntu,Security,Critical,92,High,0,59,No,70.0,55.0,11.7,Risky
P1128,RHEL,Feature,Low,31,High,0,214,Yes,62.0,52.1,19.7,Risky
P1129,Windows,Bugfix,Low,24,Medium,1,264,No,84.7,78.9,9.9,Safe
P1130,RHEL,Security,Low,29,Low,0,175,No,71.0,69.7,0.9,Safe
P1131,RHEL,Security,Low,70,Low,2,316,Yes,84.4,78.9,5.3,Risky
P1132,RHEL,Bugfix,Medium,13,Low,0,329,No,80.9,77.4,5.0,Safe
P1133,RHEL,Bugfix,Medium,96,Low,0,137,Yes,91.1,89.1,3.6,Safe
P1134,Ubuntu,Feature,Medium,57,Medium,0,163,No,74.4,68.3,4.8,Safe
P1135,RHEL,Feature,Low,65,Medium,0,70,No,89.2,82.8,10.2,Safe
P1136,Windows,Security,High,42,High,1,197,No,93.6,80.9,11.5,Safe
P1137,Windows,Feature,Medium,7,Low,0,294,No,82.9,74.0,15.2,Safe
P1138,RHEL,Security,Medium,88,Medium,0,315,No,89.8,87.9,2.8,Safe
P1139,Ubuntu,Feature,Medium,74,Low,0,266,No,75.2,67.5,9.9,Safe
P1140,Ubuntu,Feature,Medium,59,Low,0,480,No,81.2,77.7,5.2,Safe
P1141,RHEL,Bugfix,Low,5,Low,1,289,No,71.6,66.1,10.0,Safe
P1142,RHEL,Feature,Low,74,Medium,0,480,No,100.0,98.9,1.2,Safe
P1143,RHEL,Security,High,49,Low,0,448,No,97.3,89.3,13.1,Safe
P1144,RHEL,Bugfix,Critical,51,Medium,0,477,No,100.0,89.2,7.9,Safe
P1145,RHEL,Feature,Medium,83,Low,0,281,No,97.1,92.2,7.7,Safe
P1146,Windows,Bugfix,Low,30,High,1,281,No,78.4,70.2,13.4,Safe
P1147,Windows,Security,Medium,18,High,1,291,No,69.7,56.9,14.8,Risky
P1148,RHEL,Bugfix,High,58,High,0,239,No,80.8,76.1,7.9,Safe
P1149,RHEL,Feature,High,75,High,1,439,Yes,89.8,74.7,20.1,Risky
P1150,Ubuntu,Security,Low,50,High,1,278,Yes,82.1,73.2,16.9,Risky
P1151,RHEL,Security,Low,35,High,0,115,No,62.7,57.9,3.2,Safe
P1152,RHEL,Feature,High,92,Medium,2,427,No,92.5,82.7,6.8,Risky
P1153,RHEL,Feature,Medium,63,Low,0,437,No,69.0,61.0,14.2,Risky
P1154,Ubuntu,Security,Low,99,Low,0,328,No,80.8,76.8,7.1,Safe
P1155,RHEL,Security,Low,33,Low,1,318,No,100.0,99.4,0.7,Risky
P1156,Windows,Security,Medium,21,Medium,0,258,No,85.5,81.8,7.2,Safe
P1157,Windows,Security,High,18,Medium,0,464,Yes,95.8,91.8,6.0,Risky
P1158,RHEL,Bugfix,Critical,40,High,1,65,No,88.5,79.8,17.1,Risky
P1159,Windows,Feature,Medium,62,High,0,346,No,74.9,63.2,15.2,Risky
P1160,RHEL,Bugfix,Medium,28,Medium,1,269,No,92.3,91.8,0.4,Safe
P1161,Windows,Bugfix,Low,67,Medium,0,306,Yes,84.4,76.3,9.4,Safe
P1162,Windows,Security,Medium,95,High,1,416,No,70.1,65.7,8.8,Risky
P1163,Windows,Feature,Medium,29,Low,1,317,No,68.5,56.4,12.7,Risky
P1164,RHEL,Bugfix,Medium,63,Medium,0,278,No,88.8,81.9,13.4,Safe
P1165,Ubuntu,Kernel,Medium,36,Low,0,168,No,100.0,94.7,9.0,Risky
P1166,RHEL,Bugfix,Low,86,Medium,1,489,No,74.2,67.1,8.3,Safe
P1167,RHEL,Security,Low,22,Low,0,227,No,75.4,72.0,4.5,Safe
P1168,RHEL,Bugfix,Medium,41,High,0,69,No,89.0,85.9,4.4,Risky
P1169,Windows,Security,Low,30,Medium,0,499,No,71.9,67.4,6.7,Safe
P1170,Windows,Bugfix,Low,13,Low,0,85,Yes,100.0,96.5,2.2,Safe
P1171,RHEL,Security,Critical,68,Low,0,384,No,76.3,66.0,19.6,Risky
P1172,Windows,Security,Medium,76,Medium,0,471,No,80.0,73.6,9.0,Safe
P1173,RHEL,Feature,Medium,24,High,0,455,No,77.0,72.1,9.2,Risky
P1174,Windows,Security,High,58,Medium,1,157,Yes,94.3,86.2,11.8,Safe
P1175,RHEL,Feature,Critical,90,Medium,0,238,No,100.0,88.7,13.0,Risky
P1176,Windows,Security,Medium,87,Low,0,227,No,78.0,75.8,3.0,Safe
P1177,RHEL,Bugfix,High,34,Medium,1,145,No,93.7,89.4,7.5,Safe
P1178,Ubuntu,Bugfix,Medium,57,Medium,0,364,No,71.9,68.7,3.2,Safe
P1179,RHEL,Bugfix,Medium,96,Medium,1,69,No,94.6,94.9,0.6,Safe
P1180,RHEL,Security,Medium,67,Low,0,213,Yes,100.0,97.9,2.5,Safe
P1181,RHEL,Security,Medium,15,Medium,0,431,No,99.5,99.2,0.6,Risky
P1182,Ubuntu,Security,Medium,35,Medium,1,146,No,86.3,79.5,12.5,Risky
P1183,Ubuntu,Security,Medium,53,High,1,192,No,74.7,64.4,17.0,Safe
P1184,RHEL,Bugfix,Low,98,High,0,111,No,85.0,80.0,6.0,Safe
P1185,Windows,Kernel,Medium,91,Medium,0,291,No,81.9,67.9,19.3,Risky
P1186,Ubuntu,Feature,Low,23,Medium,1,287,No,80.5,68.1,21.9,Risky
P1187,Windows,Feature,Medium,16,Low,0,180,No,87.1,82.9,5.5,Safe
P1188,Windows,Feature,Medium,19,High,0,142,No,84.3,77.3,11.2,Safe
P1189,RHEL,Bugfix,High,35,Medium,1,140,No,92.1,81.2,18.3,Safe
P1190,RHEL,Security,High,47,Low,0,182,No,92.1,87.2,6.2,Safe
P1191,Ubuntu,Kernel,High,41,Medium,0,172,Yes,84.4,73.8,13.7,Risky
P1192,Ubuntu,Bugfix,Medium,83,High,2,489,Yes,89.3,83.7,4.5,Risky
P1193,Windows,Bugfix,High,33,Low,0,464,No,98.2,93.3,4.3,Safe
P1194,RHEL,Security,Medium,30,Medium,0,391,No,79.7,73.2,12.1,Safe
P1195,RHEL,Bugfix,Low,6,Medium,1,468,No,85.2,77.5,13.4,Risky
P1196,Windows,Bugfix,Low,88,Low,0,167,No,74.7,72.7,1.0,Safe
P1197,Ubuntu,Feature,Low,19,Low,0,247,Yes,89.8,82.6,13.0,Safe
P1198,Ubuntu,Bugfix,Medium,8,High,1,331,No,87.0,79.8,3.8,Safe
P1199,Windows,Security,Medium,90,High,0,423,No,89.6,81.2,10.0,Safe
P1200,Windows,Kernel,High,54,Low,1,50,No,75.1,72.4,1.6,Risky
P1201,RHEL,Security,Low,42,High,0,260,No,92.7,91.2,2.8,Safe
P1202,RHEL,Bugfix,Low,27,Medium,3,312,No,86.0,81.2,9.4,Risky
P1203,Ubuntu,Security,Critical,63,Medium,0,469,No,95.3,87.3,11.3,Risky
P1204,Windows,Feature,Low,94,Medium,1,381,No,80.6,73.0,8.3,Risky
P1205,RHEL,Kernel,Medium,79,High,2,261,Yes,91.8,81.5,13.1,Risky
P1206,RHEL,Security,Medium,32,Medium,2,136,No,89.5,82.0,12.3,Safe
P1207,Windows,Feature,Medium,70,Low,1,202,Yes,100.0,95.6,3.6,Safe
P1208,RHEL,Security,Low,12,High,0,399,No,83.8,79.0,5.6,Risky
P1209,RHEL,Kernel,Low,33,Medium,0,236,No,79.5,73.8,9.1,Safe
P1210,Windows,Feature,Low,15,Low,0,110,No,80.1,71.2,9.7,Safe
P1211,Windows,Feature,Medium,22,Medium,2,334,Yes,73.9,58.4,8.5,Risky
P1212,Windows,Security,Medium,59,Medium,0,144,No,80.0,77.8,2.8,Safe
P1213,RHEL,Kernel,Low,54,High,0,323,No,61.6,53.8,12.6,Risky
P1214,Windows,Feature,Medium,18,Medium,1,90,No,98.7,94.9,7.5,Safe
P1215,RHEL,Security,High,78,Low,2,196,No,100.0,95.7,2.4,Safe
P1216,RHEL,Feature,Low,13,Medium,3,295,Yes,83.5,63.8,25.9,Safe
P1217,Windows,Security,Medium,15,Medium,0,181,No,89.4,87.9,1.8,Safe
P1218,Windows,Feature,Medium,67,Low,1,498,No,86.6,72.6,12.2,Risky
P1219,Ubuntu,Security,Low,80,Medium,0,346,No,71.9,70.8,1.6,Safe
P1220,Windows,Feature,Medium,71,High,0,172,No,95.3,90.9,3.3,Safe
P1221,Windows,Bugfix,Medium,57,Low,0,192,No,96.8,99.0,2.1,Safe
P1222,RHEL,Security,High,43,Medium,0,231,No,74.6,69.4,8.7,Safe
P1223,RHEL,Security,High,82,Low,0,241,No,88.3,84.5,4.5,Safe
P1224,RHEL,Security,Medium,60,Low,0,448,No,82.4,75.5,13.7,Risky
P1225,RHEL,Bugfix,High,32,Medium,0,256,No,96.9,88.7,8.8,Safe
P1226,Ubuntu,Security,Medium,79,Low,0,483,No,84.2,82.1,2.4,Safe
P1227,RHEL,Bugfix,Medium,43,High,1,280,No,84.4,81.4,2.9,Risky
P1228,Ubuntu,Security,Medium,29,Low,0,71,No,100.0,100.0,0.0,Safe
P1229,Windows,Security,Low,25,Medium,0,451,No,72.1,72.0,0.3,Safe
P1230,Windows,Feature,High,14,Low,0,129,Yes,87.5,74.4,21.2,Risky
P1231,Windows,Security,Medium,47,High,0,179,No,85.9,81.4,4.4,Safe
P1232,Windows,Kernel,Medium,19,Medium,0,341,No,79.0,71.8,11.0,Safe
P1233,RHEL,Feature,Critical,87,Medium,0,325,No,100.0,96.9,6.0,Risky
P1234,RHEL,Bugfix,Low,52,Low,0,449,No,88.4,84.6,2.3,Safe
P1235,Windows,Bugfix,Medium,90,Medium,1,372,No,91.7,87.1,4.1,Safe
P1236,RHEL,Feature,Low,25,Low,1,425,No,93.1,84.5,6.9,Safe
P1237,RHEL,Security,High,64,High,1,463,No,81.8,75.0,12.3,Risky
P1238,Windows,Security,High,54,Medium,0,104,No,97.4,94.4,2.3,Safe
P1239,RHEL,Security,Medium,27,Medium,0,115,No,95.4,95.3,0.1,Safe
P1240,Ubuntu,Feature,Medium,17,Medium,0,276,Yes,83.8,75.3,11.2,Risky
P1241,Ubuntu,Security,Medium,73,Medium,0,75,No,94.4,94.3,0.1,Safe
P1242,Ubuntu,Bugfix,High,8,Medium,0,490,No,97.4,88.4,15.3,Safe
P1243,RHEL,Kernel,Medium,96,Medium,1,302,No,93.0,89.9,3.4,Safe
P1244,RHEL,Feature,Medium,82,Medium,1,246,No,76.6,60.3,21.2,Risky
P1245,Ubuntu,Bugfix,Critical,76,Medium,1,179,No,84.1,70.9,25.7,Risky
P1246,RHEL,Security,Low,13,Medium,0,292,No,89.8,91.1,1.3,Safe
P1247,Ubuntu,Feature,Low,39,Low,0,361,No,87.5,80.0,6.6,Safe
P1248,Ubuntu,Bugfix,Medium,25,High,0,261,No,77.5,70.7,10.8,Safe
P1249,Ubuntu,Security,Critical,62,Medium,0,239,Yes,82.1,69.8,20.4,Risky
P1250,RHEL,Security,Medium,22,Medium,0,339,Yes,88.5,79.0,10.7,Safe
P1251,RHEL,Kernel,Low,76,High,2,275,No,69.9,52.4,14.3,Risky
P1252,Ubuntu,Bugfix,Medium,85,Low,3,295,No,85.2,82.9,3.9,Safe
P1253,RHEL,Feature,Medium,47,High,0,105,Yes,92.0,79.3,19.0,Safe
P1254,RHEL,Feature,Low,99,High,0,104,No,87.8,85.5,4.3,Safe
P1255,Windows,Bugfix,Medium,10,High,1,325,No,76.4,69.8,11.7,Safe
P1256,Ubuntu,Bugfix,Critical,90,High,0,355,No,78.2,72.2,4.8,Risky
P1257,Windows,Bugfix,Medium,82,Medium,0,458,No,99.9,99.8,0.1,Safe
P1258,Windows,Security,Medium,71,Low,0,389,No,75.6,71.7,3.0,Safe
P1259,RHEL,Bugfix,Medium,16,Medium,1,202,Yes,96.9,93.8,5.5,Safe
P1260,Windows,Feature,Low,16,Low,1,102,No,78.8,65.8,21.5,Risky
P1261,Ubuntu,Bugfix,High,70,Low,0,447,No,96.3,96.8,0.6,Risky
P1262,RHEL,Feature,Medium,6,Medium,0,493,No,90.4,85.9,6.7,Safe
P1263,Windows,Bugfix,Medium,19,Low,1,160,No,81.5,78.5,2.0,Risky
P1264,Ubuntu,Bugfix,Medium,27,High,0,476,Yes,67.3,58.8,4.8,Risky
P1265,Windows,Bugfix,Medium,33,High,0,495,No,89.0,84.8,4.2,Safe
P1266,Windows,Bugfix,Medium,85,High,0,253,Yes,86.8,83.0,6.7,Safe
P1267,Windows,Feature,Low,11,Medium,0,161,No,89.1,81.5,9.1,Safe
P1268,RHEL,Security,High,98,High,0,374,Yes,90.4,87.8,2.2,Safe
P1269,RHEL,Bugfix,Critical,32,High,0,496,No,71.9,53.7,31.8,Risky
P1270,Ubuntu,Security,Medium,18,Medium,0,307,No,88.9,88.3,0.5,Safe
P1271,Ubuntu,Security,Critical,48,Low,1,487,No,92.4,79.3,22.6,Risky
P1272,Ubuntu,Bugfix,Low,34,High,1,65,No,92.3,91.6,0.8,Safe
P1273,Ubuntu,Bugfix,Medium,85,High,1,488,No,72.5,58.6,16.6,Risky
P1274,Windows,Kernel,Medium,36,Medium,1,399,No,96.5,92.5,3.7,Safe
P1275,Windows,Bugfix,Medium,74,Low,1,476,No,89.3,88.6,1.2,Safe
P1276,Windows,Feature,Medium,92,Medium,0,494,No,90.6,86.5,2.5,Safe
P1277,Windows,Bugfix,Medium,10,Low,0,215,No,76.0,68.0,5.8,Safe
P1278,Windows,Bugfix,Low,31,High,1,350,Yes,92.6,82.5,14.7,Risky
P1279,Windows,Security,Medium,86,High,0,431,No,67.8,63.1,8.3,Safe
P1280,Ubuntu,Security,Low,92,Low,1,484,No,76.5,68.2,5.4,Safe
P1281,RHEL,Security,High,28,Medium,2,475,No,97.7,89.4,13.3,Risky
P1282,RHEL,Bugfix,Low,38,Low,0,329,No,92.1,85.4,10.7,Risky
P1283,RHEL,Security,Low,44,Medium,1,420,No,87.9,83.0,6.7,Safe
P1284,Windows,Security,Medium,51,Low,1,207,Yes,94.4,89.1,6.6,Safe
P1285,RHEL,Security,Medium,83,Medium,0,470,No,95.1,90.7,4.4,Safe
P1286,RHEL,Kernel,High,79,Medium,0,298,Yes,92.6,85.4,7.4,Risky
P1287,Windows,Security,Medium,90,Low,1,428,Yes,82.8,76.6,9.5,Safe
P1288,RHEL,Bugfix,Medium,28,Medium,0,230,No,76.2,73.8,1.4,Safe
P1289,Windows,Security,High,69,Low,1,240,No,78.4,68.3,13.9,Risky
P1290,RHEL,Bugfix,Medium,22,Medium,1,188,No,99.1,96.4,2.5,Safe
P1291,RHEL,Security,Low,48,Low,1,127,No,72.2,64.6,9.1,Safe
P1292,Ubuntu,Security,Medium,80,Medium,1,456,Yes,89.9,86.1,5.0,Safe
P1293,RHEL,Bugfix,Critical,61,High,0,422,No,89.9,86.6,6.1,Safe
P1294,RHEL,Security,Medium,32,High,1,385,No,99.7,99.7,0.0,Safe
P1295,Windows,Security,Low,75,High,0,99,No,89.9,86.8,2.6,Safe
P1296,Windows,Security,Low,27,High,1,134,No,80.8,79.0,1.1,Safe
P1297,RHEL,Security,Low,89,Low,0,232,Yes,80.9,76.0,7.1,Safe
P1298,Windows,Security,Medium,38,Low,0,232,No,84.9,82.6,3.1,Safe
P1299,RHEL,Security,Medium,15,Medium,0,53,No,96.3,93.0,5.1,Safe
P1300,RHEL,Feature,Low,90,High,0,487,No,93.1,80.8,14.6,Safe
P1301,Windows,Bugfix,Critical,39,High,0,366,No,74.1,67.5,11.6,Risky
P1302,Windows,Bugfix,High,97,Low,1,160,No,87.8,80.8,13.1,Safe
P1303,Windows,Security,Medium,46,Medium,0,383,No,93.3,89.1,2.3,Safe
P1304,Windows,Kernel,High,32,Low,0,388,No,82.6,73.9,14.1,Risky
P1305,Ubuntu,Security,Low,86,Medium,0,300,No,63.4,57.0,3.6,Safe
P1306,Windows,Security,Medium,82,Medium,1,182,Yes,83.0,72.8,11.9,Safe
P1307,RHEL,Bugfix,Medium,86,Low,0,149,No,70.1,66.6,4.2,Safe
P1308,Windows,Security,High,96,Medium,0,451,No,68.6,58.8,15.1,Risky
P1309,RHEL,Security,High,28,Medium,0,221,No,95.7,93.0,2.7,Safe
